,client_id,gender,car_owner,property_owner,number_of_children,annual_income,income_type,education,marital_status,housing_type,employed_days,work_phone,phone,email_id,number_of_family_members,label,age_in_years,years_of_experience,employment_status
117,5115610,F,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,-3420,0,0,0,2,1,39.78904109589041,3.061023197184012,Employed
118,5115611,F,N,Y,0,202500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-3420,0,0,0,2,1,39.78904109589041,3.061023197184012,Employed
119,5116035,M,Y,Y,0,126000.0,Working,Higher education,Single / not married,House / apartment,-863,1,0,0,1,1,39.78630136986301,1.5376552154640635,Employed
120,5116036,M,Y,Y,0,126000.0,Working,Higher education,Single / not married,House / apartment,-863,1,0,0,1,1,39.78630136986301,1.5376552154640635,Employed
122,5116301,F,N,Y,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,365243,0,0,0,2,1,62.06849315068493,2.313154757362086,Unemployed
123,5116302,F,N,Y,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,365243,0,0,0,2,1,62.06849315068493,2.313154757362086,Unemployed
124,5116304,F,N,Y,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,365243,0,0,0,2,1,62.06849315068493,2.313154757362086,Unemployed
125,5116305,F,N,Y,0,155175.0962264151,Pensioner,Secondary / secondary special,Married,House / apartment,365243,0,0,0,2,1,62.06849315068493,2.313154757362086,Unemployed
127,5117313,F,N,Y,1,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-3931,1,1,0,3,1,35.676712328767124,3.281746945408593,Employed
128,5117413,F,N,N,0,81000.0,Pensioner,Secondary / secondary special,Separated,House / apartment,365243,0,1,0,1,1,61.038356164383565,2.313154757362086,Unemployed
129,5118046,F,N,N,0,81000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,365243,0,1,0,1,1,65.48493150684932,2.313154757362086,Unemployed
130,5118275,F,N,N,0,112500.0,Pensioner,Secondary / secondary special,Married,Municipal apartment,365243,0,0,0,2,1,58.52876712328767,2.313154757362086,Unemployed
131,5118278,F,N,N,0,112500.0,Pensioner,Secondary / secondary special,Married,Municipal apartment,365243,0,0,0,2,1,58.52876712328767,2.313154757362086,Unemployed
132,5118279,F,N,N,0,112500.0,Pensioner,Secondary / secondary special,Married,Municipal apartment,365243,0,0,0,2,1,58.52876712328767,2.313154757362086,Unemployed
133,5118280,F,N,N,0,112500.0,Pensioner,Secondary / secondary special,Single / not married,Municipal apartment,365243,0,0,0,2,1,58.52876712328767,2.313154757362086,Unemployed
134,5118283,M,N,N,0,112500.0,Pensioner,Secondary / secondary special,Married,Municipal apartment,365243,0,0,0,2,1,58.52876712328767,2.313154757362086,Unemployed
135,5118541,F,N,Y,0,72000.0,Working,Secondary / secondary special,Married,House / apartment,-1039,0,1,0,2,1,49.676712328767124,1.6871797007034413,Employed
136,5125289,F,N,N,1,202500.0,Working,Secondary / secondary special,Separated,House / apartment,-134,0,0,0,2,1,38.18904109589041,0.605906995892301,Employed
137,5125299,F,N,Y,0,148500.0,Pensioner,Secondary / secondary special,Married,House / apartment,365243,0,0,0,2,1,57.11232876712329,2.313154757362086,Unemployed
138,5125708,F,Y,Y,0,135000.0,Working,Lower secondary,Married,House / apartment,-622,0,1,0,2,1,44.967123287671235,1.3054154852157591,Employed
139,5125716,F,Y,Y,0,135000.0,Working,Lower secondary,Married,House / apartment,-622,0,1,0,2,1,44.967123287671235,1.3054154852157591,Employed
140,5125761,M,N,Y,0,270000.0,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,-1595,0,0,0,1,1,49.36986301369863,2.0904217310625697,Employed
141,5125763,M,Y,N,1,135000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-1626,0,1,0,3,1,35.6986301369863,2.110638415396618,Employed
142,5125934,F,N,Y,2,135000.0,Commercial associate,Lower secondary,Civil marriage,With parents,-1868,1,0,0,4,1,27.019178082191782,2.2622573282405525,Employed
143,5126278,F,N,N,0,162000.0,Pensioner,Secondary / secondary special,Married,House / apartment,365243,0,0,0,2,1,58.202739726027396,2.313154757362086,Unemployed
144,5135344,M,N,Y,0,112500.0,Commercial associate,Higher education,Married,House / apartment,-555,0,0,0,2,1,55.07671232876712,1.2331050016951028,Employed
145,5135345,M,N,Y,0,112500.0,Commercial associate,Higher education,Married,House / apartment,-555,0,0,0,2,1,55.07671232876712,1.2331050016951028,Employed
146,5135346,M,N,Y,0,112500.0,Commercial associate,Higher education,Married,House / apartment,-555,0,0,0,2,1,55.07671232876712,1.2331050016951028,Employed
147,5135485,F,N,Y,0,135000.0,State servant,Higher education,Single / not married,Municipal apartment,-1935,0,0,0,1,1,29.205479452054796,2.302470382657223,Employed
148,5135487,F,N,Y,0,135000.0,State servant,Higher education,Single / not married,Municipal apartment,-1935,0,0,0,1,1,29.205479452054796,2.302470382657223,Employed
149,5135636,M,Y,Y,0,195750.0,Working,Secondary / secondary special,Married,House / apartment,-931,1,1,0,2,1,51.605479452054794,1.5970863882416786,Employed
152,5142183,M,Y,Y,2,234600.0,Commercial associate,Higher education,Married,House / apartment,-4305,1,1,0,4,1,48.87945205479452,3.434315149770796,Employed
155,5142361,M,Y,Y,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,-925,1,1,0,3,1,44.394520547945206,1.5919317118967338,Employed
156,5142362,M,Y,Y,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,-925,1,1,0,3,1,44.394520547945206,1.5919317118967338,Employed
157,5142456,F,N,N,0,67500.0,Commercial associate,Higher education,Separated,House / apartment,-499,0,1,0,1,1,51.92328767123288,1.1692404746976701,Employed
158,5142458,F,N,Y,0,67500.0,Commercial associate,Higher education,Separated,House / apartment,-499,0,1,0,1,1,51.92328767123288,1.1692404746976701,Employed
159,5142459,F,N,Y,0,67500.0,Commercial associate,Higher education,Separated,House / apartment,-499,0,1,0,1,1,51.92328767123288,1.1692404746976701,Employed
160,5143342,M,N,N,1,216000.0,Working,Secondary / secondary special,Married,Municipal apartment,-2418,0,0,1,3,1,35.46849315068493,2.5738410079580625,Employed
161,5145690,F,N,Y,0,306000.0,Pensioner,Higher education,Married,House / apartment,365243,0,0,0,2,1,59.15068493150685,2.313154757362086,Unemployed
162,5145817,F,N,Y,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,365243,0,0,0,2,1,60.3041095890411,2.313154757362086,Unemployed
163,5146005,M,Y,Y,0,225000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-189,0,0,1,1,1,27.882191780821916,0.7195889237461081,Employed
164,5146079,F,N,Y,1,108000.0,Working,Secondary / secondary special,Married,House / apartment,-1132,1,1,0,3,1,34.85753424657534,1.7610706581547768,Employed
165,5146167,F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-1770,0,0,0,2,1,55.605479452054794,2.2021160433758142,Employed
166,5146444,F,N,Y,0,135000.0,Working,Secondary / secondary special,Widow,House / apartment,-919,0,1,0,1,1,39.43561643835616,1.5867602903961526,Employed
167,5148932,M,Y,N,0,108000.0,Working,Secondary / secondary special,Married,Office apartment,-1081,0,0,0,2,1,47.14794520547945,1.7209427171223446,Employed
168,5148934,M,Y,N,0,108000.0,Working,Secondary / secondary special,Married,Office apartment,-1081,0,0,0,2,1,47.14794520547945,1.7209427171223446,Employed
172,5149828,M,Y,Y,0,315000.0,Working,Secondary / secondary special,Married,House / apartment,-2420,0,0,0,2,1,47.52876712328767,2.5749052383148725,Employed
173,5149834,F,N,Y,0,157500.0,Commercial associate,Higher education,Married,House / apartment,-1325,0,1,1,2,1,33.93698630136986,1.9052918375675076,Employed
174,5149838,F,N,Y,0,157500.0,Pensioner,Higher education,Married,House / apartment,-1325,0,1,1,2,1,33.93698630136986,1.9052918375675076,Employed
176,5069057,M,Y,N,0,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-2484,0,0,0,2,0,48.66301369863014,2.6087313874860314,Employed
177,5066689,F,N,Y,0,180000.0,Commercial associate,Higher education,Civil marriage,House / apartment,-341,0,1,1,2,0,35.46849315068493,0.9665643151609032,Employed
179,5113717,F,N,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,-3054,0,0,1,3,0,44.97260273972603,2.8925980169514105,Employed
180,5066765,F,N,Y,1,63000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-2987,0,0,0,3,0,39.863013698630134,2.860692511234931,Employed
181,5105227,F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-2128,0,0,0,2,0,47.57534246575342,2.4145676603279043,Employed
182,5054648,F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,365243,0,0,0,1,0,66.40547945205479,2.313154757362086,Unemployed
183,5067187,F,N,Y,0,112500.0,Working,Higher education,Married,House / apartment,-820,1,0,0,2,0,31.32054794520548,1.4988580127769786,Employed
184,5105818,F,N,Y,0,45000.0,Pensioner,Secondary / secondary special,Married,House / apartment,365243,0,1,0,2,0,60.47123287671233,2.313154757362086,Unemployed
185,5033574,F,Y,Y,1,181048.75730622618,Working,Secondary / secondary special,Married,House / apartment,-141,1,1,0,3,0,38.964383561643835,0.6215314713375452,Employed
186,5125478,F,N,Y,0,202500.0,Pensioner,Secondary / secondary special,Married,House / apartment,365243,0,0,0,2,0,56.605479452054794,2.313154757362086,Unemployed
187,5046340,M,N,Y,1,180000.0,Working,Lower secondary,Married,House / apartment,-1692,1,0,0,3,0,28.98904109589041,2.153048173719335,Employed
189,5022326,M,Y,Y,0,256500.0,Commercial associate,Higher education,Married,House / apartment,-1674,0,0,1,2,0,58.912328767123284,2.141565168250318,Employed
190,5065764,F,N,Y,0,90000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-693,0,0,0,1,0,40.4,1.377907884071465,Employed
191,5067849,F,N,Y,0,180000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-567,0,0,0,1,0,40.42739726027397,1.246364576492066,Employed
192,5097169,F,N,N,0,90000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-885,0,0,0,1,0,29.4,1.5571311872307276,Employed
193,5048583,F,N,Y,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,365243,0,0,0,2,0,59.12054794520548,2.313154757362086,Unemployed
194,5115566,M,N,Y,0,126000.0,Pensioner,Secondary / secondary special,Married,Rented apartment,365243,0,0,0,2,0,45.18082191780822,2.313154757362086,Unemployed
195,5052722,F,N,N,0,126000.0,Pensioner,Secondary / secondary special,Married,House / apartment,365243,0,0,0,2,0,59.93150684931507,2.313154757362086,Unemployed
196,5067723,F,N,Y,1,337500.0,Working,Academic degree,Single / not married,House / apartment,-2769,0,0,0,2,0,34.397260273972606,2.754324122151025,Employed
197,5056077,M,Y,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,-1547,0,0,0,2,0,33.298630136986304,2.058726830928174,Employed
198,5022275,M,Y,Y,0,131400.0,Pensioner,Secondary / secondary special,Married,House / apartment,365243,0,0,0,2,0,64.78356164383561,2.313154757362086,Unemployed
199,5143016,M,N,N,0,180000.0,Commercial associate,Secondary / secondary special,Civil marriage,Rented apartment,-3179,0,0,0,2,0,39.84109589041096,2.9512012877972067,Employed
200,5066709,F,N,Y,0,247500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,365243,0,0,0,1,0,67.15342465753425,2.313154757362086,Unemployed
201,5021445,F,N,Y,0,121500.0,Working,Secondary / secondary special,Married,With parents,-5204,1,1,0,2,0,36.47945205479452,3.775915021100891,Employed
202,5053592,F,N,Y,1,117000.0,Working,Lower secondary,Widow,House / apartment,-3072,0,1,0,2,0,48.30958904109589,2.9011098490343974,Employed
203,5116163,F,N,Y,2,90000.0,Working,Secondary / secondary special,Married,House / apartment,-320,0,0,0,4,0,27.12054794520548,0.9363291775690444,Employed
205,5066627,M,Y,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-583,0,0,0,2,0,43.9461426596527,1.263827628267638,Employed
206,5125399,M,Y,N,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,-834,0,0,0,2,0,27.578082191780823,1.5115989900927147,Employed
207,5067345,F,Y,N,0,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-1085,0,1,0,2,0,45.31780821917808,1.7241237599795518,Employed
208,5053711,F,Y,N,2,157500.0,Commercial associate,Incomplete higher,Married,House / apartment,-1399,0,0,1,4,0,35.224657534246575,1.9577734067886323,Employed
